id,Name_ALT,maxTemp,minTemp,averageTemp,precipitation,elevation,,,,,
NC-001,Alamance County,47.8,27.3,37.6,5.29,970,,,,,
NC-003,Alexander County,47.7,26.6,37.2,2.41,2564,,,,,
NC-005,Alleghany County,40.3,21.4,30.8,2.72,4175,,,,,
NC-007,Anson County,51.8,29.4,40.6,5.08,636,,,,,
NC-009,Ashe County,39.6,20,29.8,3.45,5208,,,,,
NC-011,Avery County,38.9,20.6,29.7,2.81,6160,,,,,
NC-013,Beaufort County,52.3,31.3,41.8,5.51,66,,,,,
NC-015,Bertie County,49.1,28.4,38.8,5.66,103,,,,, 
NC-017,Bladen County,53.7,30.5,42.1,4.64,170,,,,,
NC-019,Brunswick County,55.7,32.2,44,4.56,75,,,,,
NC-021,Buncombe County,43.5,23.6,33.5,3.18,6400,,,,,
NC-023,Burke County,47.7,26,36.8,4.37,4280,,,,,
NC-025,Cabarrus County,50.6,29.6,40.1,4.62,890,,,,,
NC-027,Caldwell County,46.9,25.4,36.2,3.97,5920,,,,,
NC-029,Camden County,50.1,29.4,39.8,6.04,24,,,,,
NC-031,Carteret County,55.2,33.8,44.5,5.07,51,,,,,
NC-033,Caswell County,47,26.8,36.9,4.81,880,,,,,
NC-035,Catawba County,49,27.5,38.2,3.66,1780,,,,,
NC-037,Chatham County,49.4,28,38.7,5.38,774,,,,,
NC-039,Cherokee County,47.3,25,36.2,5.32,5040,,,,,
NC-041,Chowan County,50,29.5,39.7,6.23,52,,,,,
NC-043,Clay County,47.1,25,36,5.28,5499,,,,,
NC-045,Cleveland County,50.3,27,38.6,4.13,2880,,,,,
NC-047,Columbus County,54.9,31.2,43.1,4.69,132,,,,,
NC-049,Craven County,53.7,31,42.4,4.79,76,,,,,
NC-051,Cumberland County,51.9,29.3,40.6,4.2,486,,,,,
NC-053,Currituck County,49.4,30.9,40.2,6.01,23,,,,,
NC-055,Dare County,50.4,33.3,41.9,7.23,138,,,,,
NC-057,Davidson County,48.7,27.3,38,4.41,1188,,,,,
NC-059,Davie County,48,26.9,37.4,4.55,1010,,,,,
NC-061,Duplin County,52.3,29.2,40.8,4.6,170,,,,,
NC-063,Durham County,48.3,26.6,37.5,5.71,770,,,,,
NC-065,Edgecombe County,50.5,27.8,39.2,4.9,140,,,,,
NC-067,Forsyth County,46.8,26.8,36.8,4.3,1100,,,,,
NC-069,Franklin County,48.2,27.5,37.9,5.95,562,,,,,
NC-071,Gaston County,50.9,28.8,39.8,3.79,1690,,,,,
NC-073,Gates County,49.9,27.9,38.9,5.95,85,,,,,
NC-075,Graham County,44.5,23.8,34.2,5.35,5560,,,,,
NC-077,Granville County,47.2,26.4,36.8,5.03,743,,,,,
NC-079,Greene County,51,28.3,39.7,4.88,138,,,,,
NC-081,Guilford County,47.3,27,37.2,5.24,1000,,,,,
NC-083,Halifax County,48.5,27.5,38,5.96,391,,,,,
NC-085,Harnett County,50.6,28.6,39.6,4.78,490,,,,,
NC-087,Haywood County,40.3,22.1,31.2,4.6,6621,,,,,
NC-089,Henderson County,44.5,25,34.8,3.08,5280,,,,,
NC-091,Hertford County,48.6,28.1,38.3,5.65,95,,,,,
NC-093,Hoke County,51.9,29.1,40.5,4.23,550,,,,,
NC-095,Hyde County,52.2,33.1,42.6,6.46,27,,,,,
NC-097,Iredell County,48.4,27.3,37.8,4.39,1740,,,,,
NC-099,Jackson County,42.8,24,33.4,4.36,6410,,,,,
NC-101,Johnston County,49.8,28.4,39.2,5.29,370,,,,,
NC-103,Jones County,53.6,29.6,41.6,4.5,125,,,,,
NC-105,Lee County,50.5,28.5,39.5,4.58,540,,,,,
NC-107,Lenoir County,51.4,28.3,39.9,4.97,164,,,,,
NC-109,Lincoln County,50,28,39,4.31,1480,,,,,
NC-111,McDowell County,46.8,24.6,35.7,4.05,5499,,,,,
NC-113,Macon County,45.5,24.7,35.1,4.69,5152,,,,,
NC-115,Madison County,43.4,23.9,33.7,4.2,92,,,,,
NC-117,Martin County,50.3,28.5,39.4,5.34,5665,,,,,
NC-119,Mecklenburg County,51.2,29.9,40.5,3.86,890,,,,,
NC-121,Mitchell County,40.5,21.1,30.8,4.14,6285,,,,,
NC-123,Montgomery County,51,29.6,40.3,5.79,953,,,,,
NC-125,Moore County,51.2,29.3,40.2,3.96,730,,,,,
NC-127,Nash County,49.7,27.5,38.6,5.31,360,,,,,
NC-129,New Hanover County,55.4,32,43.7,4.4,75,,,,,
NC-131,Northampton County,47.9,27.5,37.7,6.04,370,,,,,
NC-133,Onslow County,54.3,30.9,42.6,4.1,34,,,,,
NC-135,Orange County,47.7,27,37.4,5.47,860,,,,,
NC-137,Pamlico County,54,33.7,43.8,5.21,50,,,,,
NC-139,Pasquotank County,50.2,29.4,39.8,6.13,21,,,,,
NC-141,Pender County,54.2,30.8,42.5,4.4,115,,,,,
NC-143,Perquimans County,50.3,29.2,39.7,6.24,52,,,,,
NC-145,Person County,46.8,26.2,36.5,5.01,888,,,,,
NC-147,Pitt County,51.3,28.7,40,5.08,127,,,,,
NC-149,Polk County,48.9,27.5,38.2,3.3,3280,,,,,
NC-151,Randolph County,48.9,27.7,38.3,5.16,1150,,,,,
NC-153,Richmond County,51.8,29.5,40.7,5.13,620,,,,,
NC-155,Robeson County,53.5,30.4,41.9,4.68,240,,,,,
NC-157,Rockingham County,46.3,26.6,36.4,4.57,1040,,,,,
NC-159,Rowan County,49.3,28,38.6,4.61,1090,,,,,
NC-161,Rutherford County,49.5,26.8,38.2,3.57,3965,,,,,
NC-163,Sampson County,51.8,29.3,40.6,4.56,230,,,,,
NC-165,Scotland County,52.2,29.4,40.8,4.48,480,,,,,
NC-167,Stanly County,51.1,30,40.5,6.07,900,,,,,
NC-169,Stokes County,44.7,26,35.4,4.12,2579,,,,,
NC-171,Surry County,45.1,25.2,35.2,3.72,3580,,,,,
NC-173,Swain County,41.8,22.6,32.2,5.88,6643,,,,,
NC-175,Transylvania County,43.3,25.2,34.2,3.48,6000,,,,,
NC-177,Tyrrell County,51.2,31.2,41.2,6.7,16,,,,,
NC-179,Union County,51.4,30.1,40.8,4.83,786,,,,,
NC-181,Vance County,47.1,26.6,36.9,5.27,570,,,,,
NC-183,Wake County,48.7,27.9,38.3,6.34,545,,,,,
NC-185,Warren County,47.6,27,37.3,5.68,480,,,,,
NC-187,Washington County,51.2,29.8,40.5,6.03,50,,,,,
NC-189,Watauga County,40,20.7,30.4,3.13,5920,,,,,
NC-191,Wayne County,50.8,28.6,39.7,4.74,195,,,,,
NC-193,Wilkes County,46.2,25.3,35.7,3.26,4079,,,,,
NC-195,Wilson County,50.6,28.2,39.4,4.71,320,,,,,
NC-197,Yadkin County,46.9,26.4,36.6,3.98,1755,,,,,
NC-199,Yancey County,40.1,21,30.5,4.1,6684,,,,,
